method,dataset,attribute,selection,acc,prule,dDP,dEOdd,dEOpp
ERM (baseline),Adult,race,Max-Acc,85.25,41.23,12.28,13.17,8.93
ERM (baseline),Adult,race,Max-Prule,85.25,41.23,12.28,13.17,8.93
ERM (baseline),Adult,race,Trade-off,85.25,41.23,12.28,13.17,8.93
ERM (baseline),Adult,sex,Max-Acc,85.31,32.23,16.74,14.26,7.95
ERM (baseline),Adult,sex,Max-Prule,85.31,32.23,16.74,14.26,7.95
ERM (baseline),Adult,sex,Trade-off,85.31,32.23,16.74,14.26,7.95
Ours,Adult,race,Final,83.96,81.56,3.28,2.37,2.84
Ours,Adult,sex,Final,83.96,86.67,2.41,15.36,27.69
ERM (baseline),Bank,age,Max-Acc,91.02,45.27,10.04,9.88,5.68
ERM (baseline),Bank,age,Max-Prule,91.02,45.27,10.04,9.88,5.68
ERM (baseline),Bank,age,Trade-off,91.02,45.27,10.04,9.88,5.68
Ours,Bank,age,Final,91.38,81.70,--,--,--
ERM (baseline),COMPAS,race,Max-Acc,67.45,61.09,17.32,29.83,20.63
ERM (baseline),COMPAS,race,Max-Prule,67.45,61.09,17.32,29.83,20.63
ERM (baseline),COMPAS,race,Trade-off,67.45,61.09,17.32,29.83,20.63
ERM (baseline),COMPAS,sex,Max-Acc,67.14,67.44,12.80,17.89,9.81
ERM (baseline),COMPAS,sex,Max-Prule,67.14,67.44,12.80,17.89,9.81
ERM (baseline),COMPAS,sex,Trade-off,67.14,67.44,12.80,17.89,9.81
Ours,COMPAS,race,Best,98.27,75.18,--,--,--
Ours,COMPAS,sex,Best,98.27,75.27,--,--,--
ERM (baseline),German,age,Max-Acc,75.22,85.77,11.13,16.73,7.28
ERM (baseline),German,age,Max-Prule,75.22,85.77,11.13,16.73,7.28
ERM (baseline),German,age,Trade-off,75.22,85.77,11.13,16.73,7.28
ERM (baseline),German,sex,Max-Acc,75.04,91.14,6.85,11.83,2.49
ERM (baseline),German,sex,Max-Prule,75.04,91.14,6.85,11.83,2.49
ERM (baseline),German,sex,Trade-off,75.04,91.14,6.85,11.83,2.49
Ours,German,age,Best,76.00,84.62,--,--,--
Ours,German,sex,Best,76.00,83.37,--,--,--
ERM (baseline),KDD Census,race,Max-Acc,94.52,98.59,1.40,6.92,0.30
ERM (baseline),KDD Census,race,Max-Prule,94.52,98.59,1.40,6.92,0.30
ERM (baseline),KDD Census,race,Trade-off,94.52,98.59,1.40,6.92,0.30
ERM (baseline),KDD Census,sex,Max-Acc,94.94,96.14,3.82,15.63,0.83
ERM (baseline),KDD Census,sex,Max-Prule,94.94,96.14,3.82,15.63,0.83
ERM (baseline),KDD Census,sex,Trade-off,94.94,96.14,3.82,15.63,0.83
Ours,KDD Census,race,Final,93.85,100.00,--,--,--
Ours,KDD Census,sex,Final,93.85,100.00,--,--,--
ERM (baseline),ACS Income,race,Max-Acc,77.66,86.73,6.21,8.09,4.47
ERM (baseline),ACS Income,race,Max-Prule,77.66,86.73,6.21,8.09,4.47
ERM (baseline),ACS Income,race,Trade-off,77.66,86.73,6.21,8.09,4.47
ERM (baseline),ACS Income,sex,Max-Acc,73.20,89.39,5.01,8.36,3.18
ERM (baseline),ACS Income,sex,Max-Prule,73.20,89.39,5.01,8.36,3.18
ERM (baseline),ACS Income,sex,Trade-off,73.20,89.39,5.01,8.36,3.18
Ours,ACS Income,race,Final,97.18,81.20,--,--,--
Ours,ACS Income,sex,Final,97.18,81.25,--,--,--
ERM (baseline),UTKFace,gender,Max-Acc,83.05,53.63,26.45,30.46,18.04
ERM (baseline),UTKFace,gender,Max-Prule,83.05,53.63,26.45,30.46,18.04
ERM (baseline),UTKFace,gender,Trade-off,83.05,53.63,26.45,30.46,18.04
ERM (baseline),UTKFace,Gender_Age,Max-Acc,83.05,53.63,26.45,30.46,18.04
ERM (baseline),UTKFace,Gender_Age,Max-Prule,83.05,53.63,26.45,30.46,18.04
ERM (baseline),UTKFace,Gender_Age,Trade-off,83.05,53.63,26.45,30.46,18.04
ERM (baseline),UTKFace,race,Max-Acc,82.91,59.37,23.46,23.82,16.76
ERM (baseline),UTKFace,race,Max-Prule,82.91,59.37,23.46,23.82,16.76
ERM (baseline),UTKFace,race,Trade-off,82.91,59.37,23.46,23.82,16.76
ERM (baseline),UTKFace,Race_Age,Max-Acc,82.91,59.37,23.46,23.82,16.76
ERM (baseline),UTKFace,Race_Age,Max-Prule,82.91,59.37,23.46,23.82,16.76
ERM (baseline),UTKFace,Race_Age,Trade-off,82.91,59.37,23.46,23.82,16.76
Ours,UTKFace,gender,Best,75.07,87.95,--,--,--
Ours,UTKFace,race,Best,75.07,92.76,--,--,--
ERM (baseline),Migration,coastal,Max-Acc,87.38,78.37,17.68,22.45,1.47
ERM (baseline),Migration,coastal,Max-Prule,87.38,78.37,17.68,22.45,1.47
ERM (baseline),Migration,coastal,Trade-off,87.38,78.37,17.68,22.45,1.47
ERM (baseline),Migration,educ,Max-Acc,86.85,74.06,25.06,24.95,9.67
ERM (baseline),Migration,educ,Max-Prule,86.85,74.06,25.06,24.95,9.67
ERM (baseline),Migration,educ,Trade-off,86.85,74.06,25.06,24.95,9.67
ERM (baseline),Migration,sex,Max-Acc,87.48,75.71,23.41,17.28,9.05
ERM (baseline),Migration,sex,Max-Prule,87.48,75.71,23.41,17.28,9.05
ERM (baseline),Migration,sex,Trade-off,87.48,75.71,23.41,17.28,9.05
Ours,Migration,sex,Final,84.99,82.16,17.10,5.15,5.05
Ours,Migration,coastal,Final,84.99,84.99,14.26,9.00,5.23
Ours,Migration,educ,Final,84.99,80.17,19.14,17.94,5.91
AdvDebias,Adult,race,Max-Acc,85.06,42.93,11.22,12.30,8.76
AdvDebias,Adult,race,Max-Prule,84.32,46.80,9.23,9.46,7.03
AdvDebias,Adult,race,Trade-off,84.32,46.80,9.23,9.46,7.03
AdvDebias,Adult,sex,Max-Acc,85.23,35.41,15.79,9.75,4.00
AdvDebias,Adult,sex,Max-Prule,82.34,60.24,11.73,19.53,13.55
AdvDebias,Adult,sex,Trade-off,82.34,60.24,11.73,19.53,13.55
Ours,Adult,race,Final,83.96,81.56,3.28,2.37,2.84
Ours,Adult,sex,Final,83.96,86.67,2.41,15.36,27.69
AdvDebias,Bank,age,Max-Acc,91.03,42.19,10.48,13.90,9.70
AdvDebias,Bank,age,Max-Prule,90.37,80.22,2.22,15.88,14.95
AdvDebias,Bank,age,Trade-off,90.37,80.22,2.22,15.88,14.95
Ours,Bank,age,Final,91.38,81.70,--,--,--
AdvDebias,COMPAS,race,Max-Acc,67.38,63.66,16.61,28.58,19.56
AdvDebias,COMPAS,race,Max-Prule,60.19,73.75,13.37,23.66,14.97
AdvDebias,COMPAS,race,Trade-off,67.06,63.78,15.44,26.46,18.52
AdvDebias,COMPAS,sex,Max-Acc,67.07,67.10,13.88,20.07,11.53
AdvDebias,COMPAS,sex,Max-Prule,62.70,74.10,10.49,16.98,9.84
AdvDebias,COMPAS,sex,Trade-off,67.07,67.10,13.88,20.07,11.53
Ours,COMPAS,race,Best,98.27,75.18,--,--,--
Ours,COMPAS,sex,Best,98.27,75.27,--,--,--
AdvDebias,German,age,Max-Acc,74.97,87.06,9.96,20.59,6.97
AdvDebias,German,age,Max-Prule,70.23,98.94,0.96,4.93,0.64
AdvDebias,German,age,Trade-off,74.97,87.06,9.96,20.59,6.97
AdvDebias,German,sex,Max-Acc,74.80,93.10,5.30,12.23,3.39
AdvDebias,German,sex,Max-Prule,69.77,98.66,1.26,2.10,1.22
